timestamp;Basel Temperature [2 m elevation corrected];Basel Temperature [2 m elevation corrected];Basel Temperature [2 m elevation corrected];Basel Relative Humidity [2 m];Basel Relative Humidity [2 m];Basel Relative Humidity [2 m];Basel Wind Speed [10 m];Basel Wind Speed [10 m];Basel Wind Speed [10 m];Basel Wind Direction Dominant [10 m]
2020-01-01T00:00:00;7.895029;0.7050288;3.5616958;93;58;80.291664;5.506941;1.1384199;3.9800377;133.72697
2020-01-02T00:00:00;8.855029;-0.024971247;3.3691957;94;59;80.666664;7.8954163;4.3498964;6.40896;171.03452
2020-01-03T00:00:00;11.215029;1.7650288;6.241279;95;60;82.458336;23.675304;7.10031;13.587811;221.7341
2020-01-04T00:00:00;7.3250284;4.975029;6.532528;96;70;85.541664;15.124284;4.452954;8.825939;260.87555
2020-01-05T00:00:00;6.305029;1.2750288;4.0525293;98;71;82.541664;8.854829;0.35999998;4.1632905;79.27114
2020-01-06T00:00:00;8.775029;-0.7149713;2.8846118;97;61;82.75;9.746631;4.6102495;6.6645656;165.4704
2020-01-07T00:00:00;6.3750286;-0.49497116;3.4104455;97;83;90.5;9.779817;0.5091169;5.977478;202.23499
2020-01-08T00:00:00;11.275029;3.6850288;6.900446;97;54;83.541664;11.27553;5.4477882;8.312869;189.21672
2020-01-09T00:00:00;14.925029;4.2950287;8.740029;93;43;75.291664;11.966953;8.669949;9.679755;178.196
2020-01-10T00:00:00;9.555029;3.3550286;6.185446;96;74;88.791664;25.14852;5.4477882;14.276412;227.0834
2020-01-11T00:00:00;6.3650284;3.2150288;5.130445;95;82;90.791664;5.8048253;1.9386592;3.5367515;144.24611
2020-01-12T00:00:00;8.255029;0.7850288;3.7958622;94;63;82.458336;10.383987;4.68;7.504524;204.41486
2020-01-13T00:00:00;10.865029;1.0750288;5.057112;88;58;74.875;9.387651;5.3999996;6.8256946;175.59073
2020-01-14T00:00:00;12.565029;-0.0749712;5.4191957;92;42;72.041664;15.379206;8.557102;10.596641;169.58214
2020-01-15T00:00:00;12.065029;-0.48497117;4.738363;94;52;78.916664;13.513193;7.289444;9.740497;180.09727
2020-01-16T00:00:00;12.885029;1.5050288;6.5887794;91;60;76.833336;9.72;4.1046314;6.65558;144.82846
2020-01-17T00:00:00;11.445029;-0.29497123;5.0271125;94;55;83.291664;26.6327;7.10031;14.35604;222.35918
2020-01-18T00:00:00;6.015029;1.5350288;4.0191956;91;65;81.791664;24.798225;2.0991426;12.789692;250.9039
2020-01-19T00:00:00;3.7050288;-0.11497116;1.8625288;98;74;89.375;15.463246;3.671294;10.352498;26.034897
2020-01-20T00:00:00;5.2350287;-2.6149714;1.7350289;97;62;83.958336;31.956968;7.754637;19.203352;59.847298
2020-01-21T00:00:00;6.1150284;-2.6149714;0.61544555;96;55;80.041664;6.9899354;3.319036;5.070585;81.552475
2020-01-22T00:00:00;7.7450285;-1.4249711;1.9571118;93;54;78.583336;6.638072;2.1897945;4.6229463;78.01103
