timestamp;Basel Temperature [2 m elevation corrected];Basel Relative Humidity [2 m];Basel Wind Speed [10 m];Basel Wind Direction [10 m]
1985-01-01T00:00:00;-3,2749712;88;13,849477;207,89728
1985-01-01T01:00:00;0,35502875;96;40,57952;248,67053
1985-01-01T02:00:00;0,36502874;97;41,301273;255,35812
1985-01-01T03:00:00;0,4150288;97;41,556225;265,03027
1985-01-01T04:00:00;0,5350288;98;39,797504;275,7106
1985-01-01T05:00:00;0,64502877;98;28,528723;280,1755
1985-01-01T06:00:00;0,5950288;98;26,758923;287,21606
1985-01-01T07:00:00;0,36502874;97;25,671307;292,24902
1985-01-01T08:00:00;-2,3549712;91;14,113652;232,2532
1985-01-01T09:00:00;-1,9649713;92;16,563911;227,64255
1985-01-01T10:00:00;-1,3649712;92;19,228851;231,84277
1985-01-01T11:00:00;-0,8249712;92;20,87379;237,68039
1985-01-01T12:00:00;-0,18497121;86;22,288042;238,87753
1985-01-01T13:00:00;0,055028796;87;25,189713;239,03625
1985-01-01T14:00:00;0,16502881;90;26,161375;235,6539
1985-01-01T15:00:00;0,39502883;91;28,876396;234,13017
1985-01-01T16:00:00;0,37502885;95;29,964457;234,78241
1985-01-01T17:00:00;0,12502885;96;30,96837;234,46233
1985-01-01T18:00:00;0,07502878;96;31,76375;234,68878
1985-01-01T19:00:00;0,16502881;96;33,3559;235,1093
1985-01-01T20:00:00;0,24502873;96;34,955242;237,61932
1985-01-01T21:00:00;0,26502883;96;35,632725;240,32692
1985-01-01T22:00:00;0,25502884;96;37,99663;242,9494
1985-01-01T23:00:00;0,3050288;96;38,479603;243,9144
1985-01-02T00:00:00;0,33502877;96;38,82162;245,33618
1985-01-02T01:00:00;0,35502875;96;40,57952;248,67053
1985-01-02T02:00:00;0,36502874;97;41,301273;255,35812
1985-01-02T03:00:00;0,4150288;97;41,556225;265,03027
1985-01-02T04:00:00;0,5350288;98;39,797504;275,7106
1985-01-02T05:00:00;0,64502877;98;28,528723;280,1755
1985-01-02T06:00:00;0,5950288;98;26,758923;287,21606
1985-01-02T07:00:00;0,36502874;97;25,671307;292,24902
1985-01-02T08:00:00;0,045028806;97;25,294964;294,37646
1985-01-02T09:00:00;-0,034971237;96;24,967499;294,71744
1985-01-02T10:00:00;0,06502879;95;25,772078;294,77515
1985-01-02T11:00:00;0,21502876;91;25,671307;292,24902
1985-01-02T12:00:00;0,28502882;92;25,959969;289,44003
1985-01-02T13:00:00;0,4350288;92;25,620771;289,70798
1985-01-02T14:00:00;0,34502876;92;25,600533;295,8444
1985-01-02T15:00:00;0,12502885;91;24,66197;303,69006
1985-01-02T16:00:00;-0,52497125;95;23,051247;308,65982
1985-01-02T17:00:00;-1,1549711;95;21,028437;308,04706
1985-01-02T18:00:00;-1,4049711;95;20,08916;306,25385
1985-01-02T19:00:00;-0,9549713;94;12,738099;312,7094
1985-01-02T20:00:00;-1,0849712;95;11,966954;313,78113
1985-01-02T21:00:00;-1,2049713;95;10,948973;313,6678
1985-01-02T22:00:00;-1,3049712;95;10,691453;315
1985-01-02T23:00:00;-1,4449713;95;10,948973;316,3322
1985-01-03T00:00:00;-1,5349712;95;11,246759;320,19443
1985-01-03T01:00:00;-1,7049713;94;11,525623;321,3402
1985-01-03T02:00:00;-1,8749712;94;12,599998;323,13013
